,Unnamed: 0_x,English,Chinese_Google,Dict_Acc_Google,Terms_Google,Correct_Terms_Google,Unnamed: 0_y,Chinese_M2M,Dict_Acc_M2M,Terms_M2M,Correct_Terms_M2M,Human Eval Google,Human Eval M2M
0,0,probably not : analysis suggests minimal effect of HT in maintaining lean body mass .,可能不是：分析表明 HT 在维持瘦体重方面的作用微乎其微。,0.4,"['analysis', 'effect', 'minimal', 'mass', 'body']","['analysis', 'effect']",0,['可能不是:分析表明HT在维持脂肪体重的最小效果。'],0.4,"['analysis', 'effect', 'minimal', 'mass', 'body']","['analysis', 'effect']",10.0,7.0
1,1,investigators identified 12 randomized trials of menopausal HT in which changes in LBM were assessed .,研究人员确定了 12 项评估 LBM 变化的绝经期 HT 随机试验。,0.0,"['menopausal', 'in', 'assessed']",[],1,"['研究人员确定了12次随机测试,其中评估了LBM的变化。']",0.0,"['menopausal', 'in', 'assessed']",[],9.0,8.0
2,2,Intensifying blood pressure regimens at discharge in older adults was associated with excess readmissions and serious adverse events .,老年人出院时强化血压方案与再入院率和严重不良事件有关。,0.0909090909090909,"['discharge', 'excess', 'pressure', 'blood', 'blood pressure', 'adverse', 'associated', 'with', 'serious', 'in', 'and']",['blood pressure'],2,['在老年人排放时的血压强化制度与过度回收和严重的副作用有关。'],0.1818181818181818,"['discharge', 'excess', 'pressure', 'blood', 'blood pressure', 'adverse', 'associated', 'with', 'serious', 'in', 'and']","['pressure', 'blood pressure']",10.0,5.0
3,3,"during hospitalization , patients frequently have transient elevations in blood pressure ( BP ) , which result in modification of their outpatient antihypertensive regimens at discharge .",住院期间，患者的血压 (BP) 经常出现短暂升高，这导致他们在出院时修改门诊降压方案。,0.25,"['transient', 'discharge', 'modification', 'antihypertensive', 'pressure', 'blood', 'frequently', 'blood pressure', 'hospitalization', 'result', 'have', 'in']","['antihypertensive', 'blood pressure', 'hospitalization']",3,"['在入院期间,患者经常有过渡的血压(BP)上升,这导致他们在排放时的病人抗高血压饮食的变化。']",0.25,"['transient', 'discharge', 'modification', 'antihypertensive', 'pressure', 'blood', 'frequently', 'blood pressure', 'hospitalization', 'result', 'have', 'in']","['antihypertensive', 'blood pressure', 'have']",10.0,5.0
4,4,no studies have been designed to evaluate whether this practice improves outcomes .,尚未设计任何研究来评估这种做法是否会改善结果。,0.2,"['no', 'practice', 'have', 'this', 'to']",['this'],4,['没有任何研究旨在评估这种实践是否会改善结果。'],0.6,"['no', 'practice', 'have', 'this', 'to']","['practice', 'have', 'this']",10.0,10.0
5,5,"at 1 year , mean systolic BP and incidence of adverse cardiac events were similar in the two groups .",1 年时，两组的平均收缩压和不良心脏事件的发生率相似。,0.5454545454545454,"['cardiac', 'incidence', 'mean', 'year', '1', 'adverse', 'systolic', 'at', 'and', 'two', 'similar']","['cardiac', 'incidence', 'mean', 'year', '1', 'two']",5,"['在1年,中间系统性BP和不良心脏病发作的发病率在两组中相似。']",0.4545454545454545,"['cardiac', 'incidence', 'mean', 'year', '1', 'adverse', 'systolic', 'at', 'and', 'two', 'similar']","['cardiac', 'incidence', 'year', '1', 'two']",10.0,7.0
6,6,this study highlights a common clinical inpatient scenario .,这项研究突出了一种常见的临床住院情况。,0.1666666666666666,"['a', 'study', 'common', 'clinical', 'inpatient', 'this']",['clinical'],6,['这项研究强调了一个常见的临床病人场景。'],0.1666666666666666,"['a', 'study', 'common', 'clinical', 'inpatient', 'this']",['clinical'],10.0,8.0
7,7,"clinicians often feel compelled to act on elevated BP readings in hospitalized patients , but these results suggest we should do otherwise .",临床医生常常觉得有必要对住院患者的血压读数升高采取行动，但这些结果表明我们不应该这样做。,0.25,"['feel', 'act', 'readings', 'suggest', 'act on', 'but', 'to', 'we']","['act', 'but']",7,"['临床医生经常觉得被迫在入院的患者中采取高BP阅读行动,但这些结果表明我们应该做不一样的事情。']",0.25,"['feel', 'act', 'readings', 'suggest', 'act on', 'but', 'to', 'we']","['act', 'but']",10.0,4.0
8,8,a guideline that addresses asymptomatic BP elevations in hospitalized patients would be helpful .,解决住院患者无症状血压升高的指南会有所帮助。,0.2,"['a', 'be', 'asymptomatic', 'that', 'in']",['asymptomatic'],8,['在入院患者中处理无症状BP上升的指导方针将有助于。'],0.4,"['a', 'be', 'asymptomatic', 'that', 'in']","['be', 'asymptomatic']",10.0,9.0
9,9,there is a recent emphasis in liver disease management on how best to identify individuals at increased risk for clinically significant disease in the primary care setting .,肝病管理最近强调如何在初级保健环境中最好地识别出临床上重要疾病风险增加的个体。,0.5,"['liver', 'disease', 'setting', 'recent', 'liver disease', 'primary', 'risk', 'management', 'identify', 'care', 'emphasis', 'at', 'on', 'to']","['liver', 'disease', 'liver disease', 'risk', 'management', 'identify', 'emphasis']",9,"['在肝脏疾病管理中,最近强调如何最好地识别在初级护理环境中患有临床意义的疾病风险的人。']",0.4285714285714285,"['liver', 'disease', 'setting', 'recent', 'liver disease', 'primary', 'risk', 'management', 'identify', 'care', 'emphasis', 'at', 'on', 'to']","['liver', 'disease', 'risk', 'management', 'identify', 'emphasis']",10.0,10.0
10,10,"many studies have developed risk stratification guidelines , but few have applied them in a primary care population .",许多研究制定了风险分层指南，但很少将其应用于初级保健人群。,0.4444444444444444,"['population', 'stratification', 'primary', 'risk', 'applied', 'care', 'have', 'in', 'but']","['population', 'stratification', 'risk', 'but']",10,"['许多研究已经开发了风险分裂指南,但很少有人在初级护理人口中应用了这些指南。']",0.4444444444444444,"['population', 'stratification', 'primary', 'risk', 'applied', 'care', 'have', 'in', 'but']","['population', 'risk', 'have', 'but']",10.0,9.0
11,11,"in this prospective study , researchers recruited patients from a family medicine practice in an inner city setting in England .",在这项前瞻性研究中，研究人员从英格兰市中心的一家家庭医疗诊所招募了患者。,0.25,"['family', 'setting', 'medicine', 'inner', 'study', 'prospective study', 'practice', 'this']","['family', 'prospective study']",11,"['在这项有前途的研究中,研究人员招募了来自英格兰内部城市的家庭医学实践的患者。']",0.375,"['family', 'setting', 'medicine', 'inner', 'study', 'prospective study', 'practice', 'this']","['family', 'medicine', 'practice']",10.0,9.0
12,12,"adults with one or more risk factors for chronic liver disease ( obesity , type 2 diabetes , and hazardous alcohol use ) were enrolled as a subpopulation of the overall primary care practice .",具有一种或多种慢性肝病危险因素（肥胖、2 型糖尿病和有害饮酒）的成年人被纳入整个初级保健实践的一个亚群。,0.75,"['alcohol', 'diabetes', 'liver', 'type', 'disease', '2', 'subpopulation', 'liver disease', 'obesity', 'chronic', 'primary', 'risk', 'practice', 'care', 'with', 'and']","['alcohol', 'diabetes', 'liver', 'type', 'disease', '2', 'subpopulation', 'liver disease', 'obesity', 'chronic', 'risk', 'practice']",12,['患有慢性肝脏疾病的一个或多个风险因素(肥胖、2型糖尿病和危险酒精使用)的成年人被列为总体初级护理实践的低人口。'],0.625,"['alcohol', 'diabetes', 'liver', 'type', 'disease', '2', 'subpopulation', 'liver disease', 'obesity', 'chronic', 'primary', 'risk', 'practice', 'care', 'with', 'and']","['alcohol', 'diabetes', 'liver', 'type', 'disease', '2', 'obesity', 'chronic', 'risk', 'practice']",10.0,5.0
13,13,"patients underwent transient elastography ( TE ) , from which a reading of ≥ 8 kPa was defined as significant liver disease .",患者接受了瞬时弹性成像 (TE)，其中≥ 8 kPa 的读数被定义为显着肝病。,0.4285714285714285,"['TE', 'transient', 'liver', 'disease', 'defined', 'reading', 'liver disease']","['liver', 'disease', 'liver disease']",13,"['患者接受过渡性艾拉斯托格(TE),从那里读取 ≥ 8 kPa 被定义为严重的肝病。']",0.4285714285714285,"['TE', 'transient', 'liver', 'disease', 'defined', 'reading', 'liver disease']","['liver', 'disease', 'liver disease']",10.0,4.0
14,14,"among 576 patients participating , 533 ( 93 % ) had a reliable TE measurement .",在参与的 576 名患者中，533 名 (93%) 进行了可靠的 TE 测量。,0.3333333333333333,"['TE', 'a', 'measurement']",['measurement'],14,"['在576名患者中,533人(93%)接受了可靠的TE测量。']",0.3333333333333333,"['TE', 'a', 'measurement']",['measurement'],8.0,5.0
15,15,"significant liver disease was found in 12 % of patients , nearly one third of whom had obesity as their only risk factor .",12% 的患者患有严重的肝病，其中将近三分之一的患者肥胖是唯一的危险因素。,0.6666666666666666,"['liver', 'disease', 'factor', 'liver disease', 'obesity', 'risk', 'risk factor', 'in', 'third']","['liver', 'disease', 'factor', 'liver disease', 'obesity', 'risk']",15,"['显著的肝脏疾病在12%的患者中被发现,其中近三分之一患有肥胖,这是他们唯一的风险因素。']",0.6666666666666666,"['liver', 'disease', 'factor', 'liver disease', 'obesity', 'risk', 'risk factor', 'in', 'third']","['liver', 'disease', 'factor', 'obesity', 'risk', 'risk factor']",10.0,10.0
16,16,"also , importantly , not only was obesity or diabetes each individually a driver of significant liver disease , but their combined presence showed a synergistic effect on prevalence .",同样重要的是，不仅肥胖或糖尿病各自单独成为严重肝病的驱动因素，而且它们的共同存在对患病率显示出协同效应。,0.7142857142857143,"['presence', 'diabetes', 'liver', 'disease', 'prevalence', 'liver disease', 'obesity', 'driver', 'synergistic', 'effect', 'synergistic effect', 'on', 'each', 'but']","['presence', 'diabetes', 'liver', 'disease', 'liver disease', 'obesity', 'effect', 'synergistic effect', 'each', 'but']",16,"['此外,重要的是,不僅肥胖或糖尿病,每個人都是一個重大肝病的導致者,但他們的組合存在表明對流行性有相互作用。']",0.6428571428571429,"['presence', 'diabetes', 'liver', 'disease', 'prevalence', 'liver disease', 'obesity', 'driver', 'synergistic', 'effect', 'synergistic effect', 'on', 'each', 'but']","['presence', 'diabetes', 'liver', 'disease', 'prevalence', 'liver disease', 'obesity', 'effect', 'but']",10.0,6.0
17,17,"Helicobacter pylori is a known risk factor for gastric cancer , and its eradication may be protective against the disease .",幽门螺杆菌是胃癌的已知危险因素，根除幽门螺杆菌可预防该病。,0.5,"['eradication', 'disease', 'cancer', 'gastric', 'factor', 'helicobacter', 'be', 'risk', 'risk factor', 'protective', 'gastric cancer', 'and']","['eradication', 'disease', 'cancer', 'factor', 'risk', 'gastric cancer']",17,"['Helicobacter pylori 是一种已知的胃癌风险因素,其消除可能对疾病有保护性。']",0.5,"['eradication', 'disease', 'cancer', 'gastric', 'factor', 'helicobacter', 'be', 'risk', 'risk factor', 'protective', 'gastric cancer', 'and']","['disease', 'cancer', 'factor', 'risk', 'risk factor', 'gastric cancer']",10.0,5.0
18,18,both garlic and vitamin supplementation may also be protective in populations with nutritional deficiencies .,大蒜和维生素补充剂也可能对营养缺乏的人群起到保护作用。,0.2857142857142857,"['vitamin', 'be', 'garlic', 'nutritional', 'protective', 'with', 'and']","['vitamin', 'garlic']",18,['胡萝卜和维生素补充剂在营养缺陷的人群中也可能有保护性。'],0.2857142857142857,"['vitamin', 'be', 'garlic', 'nutritional', 'protective', 'with', 'and']","['vitamin', 'be']",10.0,10.0
19,19,"the 2258 participants with H. pylori infection were assigned in a 2 × 2 × 2 factorial fashion to H. pylori eradication treatment , supplementation with vitamins ( vitamins C , E , and selenium ) , or supplementation with garlic ( extract and oil ) or to placebos for each .",2258名感染幽门螺杆菌的参与者以2 × 2 × 2析因方式被分配到根除幽门螺杆菌治疗、补充维生素（维生素C、E和硒） ，或补充大蒜（提取物和油） ，或每个安慰剂。,0.625,"['infection', 'placebos', 'extract', 'eradication', 'oil', '2', 'garlic', 'treatment', 'selenium', 'with', 'C', 'E', 'vitamins', 'each', 'to', 'and']","['infection', 'placebos', 'extract', 'eradication', 'oil', '2', 'garlic', 'treatment', 'selenium', 'vitamins']",19,['2258名患有H. pylori感染的参与者以2×2×2因子方式被分配给H. pylori消灭治疗、维生素补充(维生素C、E、和<unk>)或加胡萝卜补充(提取物和油)或每种补充。'],0.375,"['infection', 'placebos', 'extract', 'eradication', 'oil', '2', 'garlic', 'treatment', 'selenium', 'with', 'C', 'E', 'vitamins', 'each', 'to', 'and']","['infection', 'extract', 'oil', '2', 'treatment', 'vitamins']",8.0,7.0
20,20,the 1107 participants without H. pylori infection were assigned in a 2 × 2 factorial fashion to vitamin or garlic supplementation or to placebos for each .,1107 名未感染幽门螺杆菌的参与者以 2 × 2 阶乘方式被分配到维生素或大蒜补充剂组或安慰剂组。,0.625,"['infection', 'placebos', 'vitamin', '2', 'garlic', 'each', 'to', 'without']","['infection', 'placebos', 'vitamin', '2', 'garlic']",20,['没有H.pylori感染的1107名参与者以2×2因子方式分配到维生素或胡萝卜补充剂或每人分配到 placebo。'],0.375,"['infection', 'placebos', 'vitamin', '2', 'garlic', 'each', 'to', 'without']","['infection', 'vitamin', '2']",10.0,8.0
21,21,"H. pylori eradication reduced the incidence of gastric cancer ( odds ratio , 0.48 ) and mortality from gastric cancer ( adjusted hazard ratio , 0.62 ) .",根除幽门螺杆菌降低了胃癌的发病率（比值比，0.48）和胃癌死亡率（调整后的风险比，0.62）。,0.7,"['eradication', 'incidence', 'cancer', 'gastric', 'ratio', 'hazard ratio', 'mortality', 'gastric cancer', 'and', 'odds']","['eradication', 'incidence', 'cancer', 'ratio', 'hazard ratio', 'mortality', 'gastric cancer']",21,['H. pylori 消除降低了胃癌的发病率(率为 0.48 )和胃癌的死亡率(调整的危险率为 0.62 )。'],0.4,"['eradication', 'incidence', 'cancer', 'gastric', 'ratio', 'hazard ratio', 'mortality', 'gastric cancer', 'and', 'odds']","['incidence', 'cancer', 'mortality', 'gastric cancer']",10.0,10.0
22,22,"vitamin supplementation also decreased the incidence of gastric cancer ( OR , 0.64 ) and mortality from gastric cancer ( aHR , 0.48 ) .","维生素补充剂还降低了胃癌的发病率 (OR, 0.64) 和胃癌死亡率 (aHR, 0.48)。",0.625,"['incidence', 'cancer', 'gastric', 'vitamin', 'mortality', 'OR', 'gastric cancer', 'and']","['incidence', 'cancer', 'vitamin', 'mortality', 'gastric cancer']",22,"['维生素补充也降低了胃癌的发病率( OR, 0.64 )和胃癌的死亡率( aHR, 0.48 )。']",0.625,"['incidence', 'cancer', 'gastric', 'vitamin', 'mortality', 'OR', 'gastric cancer', 'and']","['incidence', 'cancer', 'vitamin', 'mortality', 'gastric cancer']",10.0,9.0
