,English,Chinese,Dictionary Accuracy,Terms,Correct Terms
0,probably not : analysis suggests minimal effect of HT in maintaining lean body mass .,可能不是：分析表明 HT 在维持瘦体重方面的作用微乎其微。,,[],[]
1,investigators identified 12 randomized trials of menopausal HT in which changes in LBM were assessed .,研究人员确定了 12 项评估 LBM 变化的绝经期 HT 随机试验。,,[],[]
2,Intensifying blood pressure regimens at discharge in older adults was associated with excess readmissions and serious adverse events .,老年人出院时强化血压方案与再入院率和严重不良事件有关。,0.0,['discharge'],[]
3,"during hospitalization , patients frequently have transient elevations in blood pressure ( BP ) , which result in modification of their outpatient antihypertensive regimens at discharge .",住院期间，患者的血压 (BP) 经常出现短暂升高，这导致他们在出院时修改门诊降压方案。,0.0,['discharge'],[]
4,no studies have been designed to evaluate whether this practice improves outcomes .,尚未设计任何研究来评估这种做法是否会改善结果。,,[],[]
5,"at 1 year , mean systolic BP and incidence of adverse cardiac events were similar in the two groups .",1 年时，两组的平均收缩压和不良心脏事件的发生率相似。,,[],[]
6,this study highlights a common clinical inpatient scenario .,这项研究突出了一种常见的临床住院情况。,,[],[]
7,"clinicians often feel compelled to act on elevated BP readings in hospitalized patients , but these results suggest we should do otherwise .",临床医生常常觉得有必要对住院患者的血压读数升高采取行动，但这些结果表明我们不应该这样做。,,[],[]
8,a guideline that addresses asymptomatic BP elevations in hospitalized patients would be helpful .,解决住院患者无症状血压升高的指南会有所帮助。,,[],[]
9,there is a recent emphasis in liver disease management on how best to identify individuals at increased risk for clinically significant disease in the primary care setting .,肝病管理最近强调如何在初级保健环境中最好地识别出临床上重要疾病风险增加的个体。,,[],[]
10,"many studies have developed risk stratification guidelines , but few have applied them in a primary care population .",许多研究制定了风险分层指南，但很少将其应用于初级保健人群。,,[],[]
11,"in this prospective study , researchers recruited patients from a family medicine practice in an inner city setting in England .",在这项前瞻性研究中，研究人员从英格兰市中心的一家家庭医疗诊所招募了患者。,,[],[]
12,"adults with one or more risk factors for chronic liver disease ( obesity , type 2 diabetes , and hazardous alcohol use ) were enrolled as a subpopulation of the overall primary care practice .",具有一种或多种慢性肝病危险因素（肥胖、2 型糖尿病和有害饮酒）的成年人被纳入整个初级保健实践的一个亚群。,,[],[]
13,"patients underwent transient elastography ( TE ) , from which a reading of ≥ 8 kPa was defined as significant liver disease .",患者接受了瞬时弹性成像 (TE)，其中≥ 8 kPa 的读数被定义为显着肝病。,0.0,['TE'],[]
14,"among 576 patients participating , 533 ( 93 % ) had a reliable TE measurement .",在参与的 576 名患者中，533 名 (93%) 进行了可靠的 TE 测量。,0.0,['TE'],[]
15,"significant liver disease was found in 12 % of patients , nearly one third of whom had obesity as their only risk factor .",12% 的患者患有严重的肝病，其中将近三分之一的患者肥胖是唯一的危险因素。,,[],[]
16,"also , importantly , not only was obesity or diabetes each individually a driver of significant liver disease , but their combined presence showed a synergistic effect on prevalence .",同样重要的是，不仅肥胖或糖尿病各自单独成为严重肝病的驱动因素，而且它们的共同存在对患病率显示出协同效应。,,[],[]
17,"Helicobacter pylori is a known risk factor for gastric cancer , and its eradication may be protective against the disease .",幽门螺杆菌是胃癌的已知危险因素，根除幽门螺杆菌可预防该病。,1.0,['eradication'],['eradication']
18,both garlic and vitamin supplementation may also be protective in populations with nutritional deficiencies .,大蒜和维生素补充剂也可能对营养缺乏的人群起到保护作用。,,[],[]
19,"the 2258 participants with H. pylori infection were assigned in a 2 × 2 × 2 factorial fashion to H. pylori eradication treatment , supplementation with vitamins ( vitamins C , E , and selenium ) , or supplementation with garlic ( extract and oil ) or to placebos for each .",2258名感染幽门螺杆菌的参与者以2 × 2 × 2析因方式被分配到根除幽门螺杆菌治疗、补充维生素（维生素C、E和硒） ，或补充大蒜（提取物和油） ，或每个安慰剂。,0.5,"['eradication', 'infection']",['eradication']
20,the 1107 participants without H. pylori infection were assigned in a 2 × 2 factorial fashion to vitamin or garlic supplementation or to placebos for each .,1107 名未感染幽门螺杆菌的参与者以 2 × 2 阶乘方式被分配到维生素或大蒜补充剂组或安慰剂组。,0.0,['infection'],[]
