,English,Chinese,Dictionary Accuracy,Terms,Correct Terms
0,probably not : analysis suggests minimal effect of HT in maintaining lean body mass .,['可能不是:分析表明HT在维持脂肪体重的最小效果。'],0.4,"['analysis', 'effect', 'minimal', 'mass', 'body']","['analysis', 'effect']"
1,investigators identified 12 randomized trials of menopausal HT in which changes in LBM were assessed .,"['研究人员确定了12次随机测试,其中评估了LBM的变化。']",0.0,"['menopausal', 'in', 'assessed']",[]
2,Intensifying blood pressure regimens at discharge in older adults was associated with excess readmissions and serious adverse events .,['在老年人排放时的血压强化制度与过度回收和严重的副作用有关。'],0.1111111111111111,"['discharge', 'excess', 'blood pressure', 'adverse', 'associated', 'with', 'serious', 'in', 'and']",['blood pressure']
3,"during hospitalization , patients frequently have transient elevations in blood pressure ( BP ) , which result in modification of their outpatient antihypertensive regimens at discharge .","['在入院期间,患者经常有过渡的血压(BP)上升,这导致他们在排放时的病人抗高血压饮食的变化。']",0.3,"['transient', 'discharge', 'modification', 'antihypertensive', 'frequently', 'blood pressure', 'hospitalization', 'result', 'have', 'in']","['antihypertensive', 'blood pressure', 'have']"
4,no studies have been designed to evaluate whether this practice improves outcomes .,['没有任何研究旨在评估这种实践是否会改善结果。'],0.6,"['no', 'practice', 'have', 'this', 'to']","['practice', 'have', 'this']"
5,"at 1 year , mean systolic BP and incidence of adverse cardiac events were similar in the two groups .","['在1年,中间系统性BP和不良心脏病发作的发病率在两组中相似。']",0.45454545454545453,"['cardiac', 'incidence', 'mean', 'year', '1', 'adverse', 'systolic', 'at', 'and', 'two', 'similar']","['cardiac', 'incidence', 'year', '1', 'two']"
6,this study highlights a common clinical inpatient scenario .,['这项研究强调了一个常见的临床病人场景。'],0.2,"['study', 'common', 'clinical', 'inpatient', 'this']",['clinical']
7,"clinicians often feel compelled to act on elevated BP readings in hospitalized patients , but these results suggest we should do otherwise .","['临床医生经常觉得被迫在入院的患者中采取高BP阅读行动,但这些结果表明我们应该做不一样的事情。']",0.14285714285714285,"['feel', 'readings', 'suggest', 'act on', 'but', 'to', 'we']",['but']
8,a guideline that addresses asymptomatic BP elevations in hospitalized patients would be helpful .,['在入院患者中处理无症状BP上升的指导方针将有助于。'],0.5,"['be', 'asymptomatic', 'that', 'in']","['be', 'asymptomatic']"
9,there is a recent emphasis in liver disease management on how best to identify individuals at increased risk for clinically significant disease in the primary care setting .,"['在肝脏疾病管理中,最近强调如何最好地识别在初级护理环境中患有临床意义的疾病风险的人。']",0.3333333333333333,"['setting', 'recent', 'liver disease', 'primary', 'risk', 'management', 'identify', 'care', 'emphasis', 'at', 'on', 'to']","['risk', 'management', 'identify', 'emphasis']"
10,"many studies have developed risk stratification guidelines , but few have applied them in a primary care population .","['许多研究已经开发了风险分裂指南,但很少有人在初级护理人口中应用了这些指南。']",0.4444444444444444,"['population', 'stratification', 'primary', 'risk', 'applied', 'care', 'have', 'in', 'but']","['population', 'risk', 'have', 'but']"
11,"in this prospective study , researchers recruited patients from a family medicine practice in an inner city setting in England .","['在这项有前途的研究中,研究人员招募了来自英格兰内部城市的家庭医学实践的患者。']",0.42857142857142855,"['family', 'setting', 'medicine', 'inner', 'prospective study', 'practice', 'this']","['family', 'medicine', 'practice']"
12,"adults with one or more risk factors for chronic liver disease ( obesity , type 2 diabetes , and hazardous alcohol use ) were enrolled as a subpopulation of the overall primary care practice .",['患有慢性肝脏疾病的一个或多个风险因素(肥胖、2型糖尿病和危险酒精使用)的成年人被列为总体初级护理实践的低人口。'],0.5714285714285714,"['alcohol', 'diabetes', 'type', '2', 'subpopulation', 'liver disease', 'obesity', 'chronic', 'primary', 'risk', 'practice', 'care', 'with', 'and']","['alcohol', 'diabetes', 'type', '2', 'obesity', 'chronic', 'risk', 'practice']"
13,"patients underwent transient elastography ( TE ) , from which a reading of ≥ 8 kPa was defined as significant liver disease .","['患者接受过渡性艾拉斯托格(TE),从那里读取 ≥ 8 kPa 被定义为严重的肝病。']",0.2,"['TE', 'transient', 'defined', 'reading', 'liver disease']",['liver disease']
14,"among 576 patients participating , 533 ( 93 % ) had a reliable TE measurement .","['在576名患者中,533人(93%)接受了可靠的TE测量。']",0.5,"['TE', 'measurement']",['measurement']
15,"significant liver disease was found in 12 % of patients , nearly one third of whom had obesity as their only risk factor .","['显著的肝脏疾病在12%的患者中被发现,其中近三分之一患有肥胖,这是他们唯一的风险因素。']",0.4,"['liver disease', 'obesity', 'risk factor', 'in', 'third']","['obesity', 'risk factor']"
16,"also , importantly , not only was obesity or diabetes each individually a driver of significant liver disease , but their combined presence showed a synergistic effect on prevalence .","['此外,重要的是,不僅肥胖或糖尿病,每個人都是一個重大肝病的導致者,但他們的組合存在表明對流行性有相互作用。']",0.6,"['presence', 'diabetes', 'prevalence', 'liver disease', 'obesity', 'driver', 'synergistic effect', 'on', 'each', 'but']","['presence', 'diabetes', 'prevalence', 'liver disease', 'obesity', 'but']"
17,"Helicobacter pylori is a known risk factor for gastric cancer , and its eradication may be protective against the disease .","['Helicobacter pylori 是一种已知的胃癌风险因素,其消除可能对疾病有保护性。']",0.375,"['eradication', 'disease', 'helicobacter', 'be', 'risk factor', 'protective', 'gastric cancer', 'and']","['disease', 'risk factor', 'gastric cancer']"
18,both garlic and vitamin supplementation may also be protective in populations with nutritional deficiencies .,['胡萝卜和维生素补充剂在营养缺陷的人群中也可能有保护性。'],0.2857142857142857,"['vitamin', 'be', 'garlic', 'nutritional', 'protective', 'with', 'and']","['vitamin', 'be']"
19,"the 2258 participants with H. pylori infection were assigned in a 2 × 2 × 2 factorial fashion to H. pylori eradication treatment , supplementation with vitamins ( vitamins C , E , and selenium ) , or supplementation with garlic ( extract and oil ) or to placebos for each .",['2258名患有H. pylori感染的参与者以2×2×2因子方式被分配给H. pylori消灭治疗、维生素补充(维生素C、E、和<unk>)或加胡萝卜补充(提取物和油)或每种补充。'],0.375,"['infection', 'placebos', 'extract', 'eradication', 'oil', '2', 'garlic', 'treatment', 'selenium', 'with', 'C', 'E', 'vitamins', 'each', 'to', 'and']","['infection', 'extract', 'oil', '2', 'treatment', 'vitamins']"
20,the 1107 participants without H. pylori infection were assigned in a 2 × 2 factorial fashion to vitamin or garlic supplementation or to placebos for each .,['没有H.pylori感染的1107名参与者以2×2因子方式分配到维生素或胡萝卜补充剂或每人分配到 placebo。'],0.375,"['infection', 'placebos', 'vitamin', '2', 'garlic', 'each', 'to', 'without']","['infection', 'vitamin', '2']"
21,"H. pylori eradication reduced the incidence of gastric cancer ( odds ratio , 0.48 ) and mortality from gastric cancer ( adjusted hazard ratio , 0.62 ) .",['H. pylori 消除降低了胃癌的发病率(率为 0.48 )和胃癌的死亡率(调整的危险率为 0.62 )。'],0.42857142857142855,"['eradication', 'incidence', 'hazard ratio', 'mortality', 'gastric cancer', 'and', 'odds']","['incidence', 'mortality', 'gastric cancer']"
22,"vitamin supplementation also decreased the incidence of gastric cancer ( OR , 0.64 ) and mortality from gastric cancer ( aHR , 0.48 ) .","['维生素补充也降低了胃癌的发病率( OR, 0.64 )和胃癌的死亡率( aHR, 0.48 )。']",0.6666666666666666,"['incidence', 'vitamin', 'mortality', 'OR', 'gastric cancer', 'and']","['incidence', 'vitamin', 'mortality', 'gastric cancer']"
23,"garlic supplementation did not reduce gastric cancer incidence but did reduce mortality from gastric cancer ( aHR , 0.66 ) .","['加糖补充剂没有减少胃癌的发病率,但减少了胃癌的死亡率(aHR,0.66)。']",0.6666666666666666,"['incidence', 'reduce', 'garlic', 'mortality', 'gastric cancer', 'but']","['incidence', 'mortality', 'gastric cancer', 'but']"
24,the beneficial effects of both vitamin and garlic supplementation were seen later than those from H. pylori eradication .,['维生素和胡萝卜补充剂的有益效果比H.pylori消灭的效果更晚。'],0.2,"['eradication', 'vitamin', 'garlic', 'later', 'and']",['vitamin']
25,"although the results reconfirm the benefit of H. pylori eradication at reducing gastric cancer incidence and mortality , the findings of the benefits of vitamin and garlic supplementation required longer observation to become apparent .","['虽然结果证实了H. pylori的消灭对减少胃癌的发病率和死亡率的好处,但维生素和胡萝卜补充的好处的发现需要更长的观察才能显而易见。']",0.5454545454545454,"['eradication', 'incidence', 'vitamin', 'garlic', 'mortality', 'benefit', 'observation', 'gastric cancer', 'become', 'to', 'and']","['incidence', 'vitamin', 'mortality', 'observation', 'gastric cancer', 'and']"
26,"the generalizability of the findings on supplementation may be limited , given that the study population had baseline nutritional deficiencies and a high risk for gastric cancer , but I would consider recommending a multivitamin for my patients at high risk for gastric cancer .","['关于补充剂的发现的普遍性可能有限,因为研究人口的基本营养缺陷和胃癌的风险很高,但我会考虑推荐一个多维生素给我的患者患胃癌的风险很高。']",0.23076923076923078,"['population', 'baseline', 'high risk', 'study', 'my', 'be', 'nutritional', 'gastric cancer', 'limited', 'I', 'that', 'but', 'and']","['population', 'gastric cancer', 'but']"
27,a large cohort study found higher rates of cancer in children who underwent computed tomography than in those who did not .,"['一项大型协调研究发现,在受计算 tomography 的儿童中,癌症的发病率高于未经计算的儿童中。']",0.16666666666666666,"['cancer', 'who', 'large', 'cohort study', 'computed tomography', 'in']",['cancer']
28,"concerns about the carcinogenic effects of radiation are largely based on data from atomic bomb survivors , and the effects of ionizing radiation used for medical imaging are less well studied .","['关于辐射的致癌作用的担忧主要是基于原子弹幸存者的数据,用于医学图像的离子辐射的效果不太好研究。']",0.2222222222222222,"['carcinogenic', 'data', 'bomb', 'medical', 'ionizing radiation', 'well', 'atomic', 'imaging', 'and']","['data', 'bomb']"
