,English,Chinese,Reference,BLEU,Dict Acc Exact Match,Terms,Exact Match Terms,Dict Acc Character Level
0,probably not : analysis suggests minimal effect of HT in maintaining lean body mass .,分析表明，雌激素有助于维持身体纤细，但可能并不是很明显。,也许 不能 : 分析 结果 提示 激素 疗法 在 维持 去 脂 体重 方面 作用 很小 .,0.07421931680983784,0.4,"['analysis', 'effect', 'minimal', 'mass', 'body']","['analysis', 'body']",0.4
1,investigators identified 12 randomized trials of menopausal HT in which changes in LBM were assessed .,研究人员确认了12个关于绝经期激素替代疗法（HT）的随机试验，其中评估了体重变化。,研究者 确定 了 12 项 评估 去 脂 体重 变化 情况 的 绝经期 激素 疗法 随机 试验 .,0.16812147492830287,0.0,"['menopausal', 'assessed']",[],0.75
2,Intensifying blood pressure regimens at discharge in older adults was associated with excess readmissions and serious adverse events .,老年人出院时加强血压治疗计划会导致过多住院和严重不良事件发生。,强化 老年人 出院 时 的 血压 控制 方案 与 再 入院 和 严重 不良 事件 增加 相关 .,0.27619512092364873,0.16666666666666666,"['discharge', 'excess', 'blood pressure', 'adverse', 'associated', 'serious']",['blood pressure'],0.3333333333333333
3,"during hospitalization , patients frequently have transient elevations in blood pressure ( BP ) , which result in modification of their outpatient antihypertensive regimens at discharge .",在住院期间，病人的血压会经常有短暂的升高，这会导致出院时调整他们的降压药物方案。,"住院 期间 , 患者 常 出现 血压 暂时 升高 , 因而 导致 医师 在 患者 出院 时 调整 其 门诊 抗 高血压 方案 .",0.16730860374366785,0.375,"['transient', 'discharge', 'modification', 'antihypertensive', 'frequently', 'blood pressure', 'hospitalization', 'result']","['antihypertensive', 'blood pressure', 'hospitalization']",0.625
4,no studies have been designed to evaluate whether this practice improves outcomes .,没有研究是专门设计来评估这种做法是否会改善结果的。,尚无 任何 研究 评估 这一 做法 可否 改善 患者 结局 .,0.11058322248539042,0.0,['practice'],[],0.0
5,"at 1 year , mean systolic BP and incidence of adverse cardiac events were similar in the two groups .",在1年的时候，两组人的平均收缩压和不良心脏事件发生率相似。,"1 年时 , 两组 的 平均 收缩压 和 心脏 不良 事件 发生率 相似 .",0.3227416467910421,0.6666666666666666,"['cardiac', 'incidence', 'mean', 'year', '1', 'adverse', 'systolic', 'two', 'similar']","['cardiac', 'incidence', 'mean', 'year', '1', 'two']",0.9629629629629631
6,this study highlights a common clinical inpatient scenario .,这项研究突出了一种常见的住院患者情况。,这项 研究 凸显 了 住院 患者 的 一种 常见 临床 状况 .,0.21770013712373879,0.0,"['study', 'common', 'clinical', 'inpatient']",[],0.375
7,"clinicians often feel compelled to act on elevated BP readings in hospitalized patients , but these results suggest we should do otherwise .",医生经常感到有必要对住院病人的血压读数采取行动，但这些结果表明我们不应该这样做。,"临床 医师 常 觉得 必须 对 住院 患者 的 血压 读数 升高 采取措施 , 但 这项 研究 的 结果 提示 我们 不 应 这样 做 .",0.15008944512960717,0.0,"['feel', 'readings', 'suggest', 'act on']",[],0.25
8,a guideline that addresses asymptomatic BP elevations in hospitalized patients would be helpful .,一个针对住院病人无症状血压升高的指南将是非常有帮助的。,"如果 可以 针对 住院 患者 无症状 的 血压 升高 制定 指南 , 这 将 会 很 有 帮助 .",0.14266179533268825,1.0,['asymptomatic'],['asymptomatic'],1.0
9,there is a recent emphasis in liver disease management on how best to identify individuals at increased risk for clinically significant disease in the primary care setting .,目前在肝病管理中，人们更加重视如何在初级保健环境中找出那些患有临床显著疾病风险的个人。,"在 肝病 诊疗 中 , 近期 的 一个 重点 是 如何 在 初级 诊疗 机构 识别 临床 显著 肝病 风险 升高 的 人 .",0.17550069330815807,0.3333333333333333,"['setting', 'recent', 'liver disease', 'primary', 'risk', 'management', 'identify', 'care', 'emphasis']","['liver disease', 'risk', 'management']",0.45185185185185184
