,Unnamed: 0_x,English,Chinese_Google,Dict_Acc_Google,Terms_Google,Correct_Terms_Google,Unnamed: 0_y,Chinese_M2M,Dict_Acc_M2M,Terms_M2M,Correct_Terms_M2M,Unnamed: 0,Chinese_GPT,Dict_Acc_GPT,Terms_GPT,Correct_Terms_GPT,Human Eval Google,Human Eval M2M,Human Eval Medical M2M,Human Eval GPT
0,0,probably not : analysis suggests minimal effect of HT in maintaining lean body mass .,可能不是：分析表明 HT 在维持瘦体重方面的作用微乎其微。,0.4,"['analysis', 'effect', 'minimal', 'mass', 'body']","['analysis', 'effect']",0,['可能不是:分析表明HT在维持脂肪体重的最小效果。'],0.4,"['analysis', 'effect', 'minimal', 'mass', 'body']","['analysis', 'effect']",0,分析表明，雌激素有助于维持身体纤细，但可能并不是很明显。,0.4,"['analysis', 'effect', 'minimal', 'mass', 'body']","['analysis', 'body']",10.0,7.0,3.0,7.0
1,1,investigators identified 12 randomized trials of menopausal HT in which changes in LBM were assessed .,研究人员确定了 12 项评估 LBM 变化的绝经期 HT 随机试验。,0.0,"['menopausal', 'in', 'assessed']",[],1,"['研究人员确定了12次随机测试,其中评估了LBM的变化。']",0.0,"['menopausal', 'in', 'assessed']",[],1,研究人员确认了12个关于绝经期激素替代疗法（HT）的随机试验，其中评估了体重变化。,0.0,"['menopausal', 'in', 'assessed']",[],9.0,8.0,0.0,9.0
2,2,Intensifying blood pressure regimens at discharge in older adults was associated with excess readmissions and serious adverse events .,老年人出院时强化血压方案与再入院率和严重不良事件有关。,0.1111111111111111,"['discharge', 'excess', 'blood pressure', 'adverse', 'associated', 'with', 'serious', 'in', 'and']",['blood pressure'],2,['在老年人排放时的血压强化制度与过度回收和严重的副作用有关。'],0.1111111111111111,"['discharge', 'excess', 'blood pressure', 'adverse', 'associated', 'with', 'serious', 'in', 'and']",['blood pressure'],2,"Intensifying blood pressure regimens at discharge in older adults was associated with excess readmissions and serious adverse events.

Chinese:

老年人出院时加强血压治疗计划会导致过多住院和严重不良事件发生。",0.1111111111111111,"['discharge', 'excess', 'blood pressure', 'adverse', 'associated', 'with', 'serious', 'in', 'and']",['blood pressure'],10.0,5.0,1.0,10.0
3,3,"during hospitalization , patients frequently have transient elevations in blood pressure ( BP ) , which result in modification of their outpatient antihypertensive regimens at discharge .",住院期间，患者的血压 (BP) 经常出现短暂升高，这导致他们在出院时修改门诊降压方案。,0.3,"['transient', 'discharge', 'modification', 'antihypertensive', 'frequently', 'blood pressure', 'hospitalization', 'result', 'have', 'in']","['antihypertensive', 'blood pressure', 'hospitalization']",3,"['在入院期间,患者经常有过渡的血压(BP)上升,这导致他们在排放时的病人抗高血压饮食的变化。']",0.3,"['transient', 'discharge', 'modification', 'antihypertensive', 'frequently', 'blood pressure', 'hospitalization', 'result', 'have', 'in']","['antihypertensive', 'blood pressure', 'have']",3,在住院期间，病人的血压会经常有短暂的升高，这会导致出院时调整他们的降压药物方案。,0.4,"['transient', 'discharge', 'modification', 'antihypertensive', 'frequently', 'blood pressure', 'hospitalization', 'result', 'have', 'in']","['antihypertensive', 'blood pressure', 'hospitalization', 'have']",10.0,5.0,2.0,10.0
4,4,no studies have been designed to evaluate whether this practice improves outcomes .,尚未设计任何研究来评估这种做法是否会改善结果。,0.2,"['no', 'practice', 'have', 'this', 'to']",['this'],4,['没有任何研究旨在评估这种实践是否会改善结果。'],0.6,"['no', 'practice', 'have', 'this', 'to']","['practice', 'have', 'this']",4,没有研究是专门设计来评估这种做法是否会改善结果的。,0.4,"['no', 'practice', 'have', 'this', 'to']","['have', 'this']",10.0,10.0,4.0,10.0
5,5,"at 1 year , mean systolic BP and incidence of adverse cardiac events were similar in the two groups .",1 年时，两组的平均收缩压和不良心脏事件的发生率相似。,0.5454545454545454,"['cardiac', 'incidence', 'mean', 'year', '1', 'adverse', 'systolic', 'at', 'and', 'two', 'similar']","['cardiac', 'incidence', 'mean', 'year', '1', 'two']",5,"['在1年,中间系统性BP和不良心脏病发作的发病率在两组中相似。']",0.4545454545454545,"['cardiac', 'incidence', 'mean', 'year', '1', 'adverse', 'systolic', 'at', 'and', 'two', 'similar']","['cardiac', 'incidence', 'year', '1', 'two']",5,在1年的时候，两组人的平均收缩压和不良心脏事件发生率相似。,0.5454545454545454,"['cardiac', 'incidence', 'mean', 'year', '1', 'adverse', 'systolic', 'at', 'and', 'two', 'similar']","['cardiac', 'incidence', 'mean', 'year', '1', 'two']",10.0,7.0,2.0,10.0
6,6,this study highlights a common clinical inpatient scenario .,这项研究突出了一种常见的临床住院情况。,0.2,"['study', 'common', 'clinical', 'inpatient', 'this']",['clinical'],6,['这项研究强调了一个常见的临床病人场景。'],0.2,"['study', 'common', 'clinical', 'inpatient', 'this']",['clinical'],6,这项研究突出了一种常见的住院患者情况。,0.0,"['study', 'common', 'clinical', 'inpatient', 'this']",[],10.0,8.0,4.0,10.0
7,7,"clinicians often feel compelled to act on elevated BP readings in hospitalized patients , but these results suggest we should do otherwise .",临床医生常常觉得有必要对住院患者的血压读数升高采取行动，但这些结果表明我们不应该这样做。,0.1428571428571428,"['feel', 'readings', 'suggest', 'act on', 'but', 'to', 'we']",['but'],7,"['临床医生经常觉得被迫在入院的患者中采取高BP阅读行动,但这些结果表明我们应该做不一样的事情。']",0.1428571428571428,"['feel', 'readings', 'suggest', 'act on', 'but', 'to', 'we']",['but'],7,医生经常感到有必要对住院病人的血压读数采取行动，但这些结果表明我们不应该这样做。,0.1428571428571428,"['feel', 'readings', 'suggest', 'act on', 'but', 'to', 'we']",['but'],10.0,4.0,2.0,10.0
8,8,a guideline that addresses asymptomatic BP elevations in hospitalized patients would be helpful .,解决住院患者无症状血压升高的指南会有所帮助。,0.25,"['be', 'asymptomatic', 'that', 'in']",['asymptomatic'],8,['在入院患者中处理无症状BP上升的指导方针将有助于。'],0.5,"['be', 'asymptomatic', 'that', 'in']","['be', 'asymptomatic']",8,一个针对住院病人无症状血压升高的指南将是非常有帮助的。,0.25,"['be', 'asymptomatic', 'that', 'in']",['asymptomatic'],10.0,9.0,2.0,10.0
9,9,there is a recent emphasis in liver disease management on how best to identify individuals at increased risk for clinically significant disease in the primary care setting .,肝病管理最近强调如何在初级保健环境中最好地识别出临床上重要疾病风险增加的个体。,0.4166666666666667,"['setting', 'recent', 'liver disease', 'primary', 'risk', 'management', 'identify', 'care', 'emphasis', 'at', 'on', 'to']","['liver disease', 'risk', 'management', 'identify', 'emphasis']",9,"['在肝脏疾病管理中,最近强调如何最好地识别在初级护理环境中患有临床意义的疾病风险的人。']",0.3333333333333333,"['setting', 'recent', 'liver disease', 'primary', 'risk', 'management', 'identify', 'care', 'emphasis', 'at', 'on', 'to']","['risk', 'management', 'identify', 'emphasis']",9,目前在肝病管理中，人们更加重视如何在初级保健环境中找出那些患有临床显著疾病风险的个人。,0.25,"['setting', 'recent', 'liver disease', 'primary', 'risk', 'management', 'identify', 'care', 'emphasis', 'at', 'on', 'to']","['liver disease', 'risk', 'management']",10.0,10.0,5.0,10.0
10,10,"many studies have developed risk stratification guidelines , but few have applied them in a primary care population .",许多研究制定了风险分层指南，但很少将其应用于初级保健人群。,0.4444444444444444,"['population', 'stratification', 'primary', 'risk', 'applied', 'care', 'have', 'in', 'but']","['population', 'stratification', 'risk', 'but']",10,"['许多研究已经开发了风险分裂指南,但很少有人在初级护理人口中应用了这些指南。']",0.4444444444444444,"['population', 'stratification', 'primary', 'risk', 'applied', 'care', 'have', 'in', 'but']","['population', 'risk', 'have', 'but']",10,许多研究已经制定了风险分级指南，但很少有研究应用于初级保健人群。,0.4444444444444444,"['population', 'stratification', 'primary', 'risk', 'applied', 'care', 'have', 'in', 'but']","['population', 'risk', 'have', 'but']",10.0,9.0,4.0,10.0
11,11,"in this prospective study , researchers recruited patients from a family medicine practice in an inner city setting in England .",在这项前瞻性研究中，研究人员从英格兰市中心的一家家庭医疗诊所招募了患者。,0.2857142857142857,"['family', 'setting', 'medicine', 'inner', 'prospective study', 'practice', 'this']","['family', 'prospective study']",11,"['在这项有前途的研究中,研究人员招募了来自英格兰内部城市的家庭医学实践的患者。']",0.4285714285714285,"['family', 'setting', 'medicine', 'inner', 'prospective study', 'practice', 'this']","['family', 'medicine', 'practice']",11,在这项前瞻性研究中，研究人员从英国一个城市内部的家庭医疗实践中招募了病人。,0.5714285714285714,"['family', 'setting', 'medicine', 'inner', 'prospective study', 'practice', 'this']","['family', 'inner', 'prospective study', 'practice']",10.0,7.0,2.0,10.0
12,12,"adults with one or more risk factors for chronic liver disease ( obesity , type 2 diabetes , and hazardous alcohol use ) were enrolled as a subpopulation of the overall primary care practice .",具有一种或多种慢性肝病危险因素（肥胖、2 型糖尿病和有害饮酒）的成年人被纳入整个初级保健实践的一个亚群。,0.7142857142857143,"['alcohol', 'diabetes', 'type', '2', 'subpopulation', 'liver disease', 'obesity', 'chronic', 'primary', 'risk', 'practice', 'care', 'with', 'and']","['alcohol', 'diabetes', 'type', '2', 'subpopulation', 'liver disease', 'obesity', 'chronic', 'risk', 'practice']",12,['患有慢性肝脏疾病的一个或多个风险因素(肥胖、2型糖尿病和危险酒精使用)的成年人被列为总体初级护理实践的低人口。'],0.5714285714285714,"['alcohol', 'diabetes', 'type', '2', 'subpopulation', 'liver disease', 'obesity', 'chronic', 'primary', 'risk', 'practice', 'care', 'with', 'and']","['alcohol', 'diabetes', 'type', '2', 'obesity', 'chronic', 'risk', 'practice']",12,"adults with one or more risk factors for chronic liver disease ( obesity , type 2 diabetes , and hazardous alcohol use ) were enrolled as a subpopulation of the overall primary care practice .

Chinese:

成人患有一个或多个慢性肝病风险因素（肥胖、2型糖尿病和危险饮酒）的人群被纳入为总体初级保健实践的一个分群。",0.6428571428571429,"['alcohol', 'diabetes', 'type', '2', 'subpopulation', 'liver disease', 'obesity', 'chronic', 'primary', 'risk', 'practice', 'care', 'with', 'and']","['alcohol', 'diabetes', 'type', '2', 'liver disease', 'obesity', 'chronic', 'risk', 'practice']",10.0,5.0,4.0,10.0
13,13,"patients underwent transient elastography ( TE ) , from which a reading of ≥ 8 kPa was defined as significant liver disease .",患者接受了瞬时弹性成像 (TE)，其中≥ 8 kPa 的读数被定义为显着肝病。,0.2,"['TE', 'transient', 'defined', 'reading', 'liver disease']",['liver disease'],13,"['患者接受过渡性艾拉斯托格(TE),从那里读取 ≥ 8 kPa 被定义为严重的肝病。']",0.2,"['TE', 'transient', 'defined', 'reading', 'liver disease']",['liver disease'],13,病人接受了瞬变弹性图像（TE）检查，其中≥8 kPa的阅读被定义为重要的肝脏疾病。,0.0,"['TE', 'transient', 'defined', 'reading', 'liver disease']",[],10.0,4.0,2.0,10.0
14,14,"among 576 patients participating , 533 ( 93 % ) had a reliable TE measurement .",在参与的 576 名患者中，533 名 (93%) 进行了可靠的 TE 测量。,0.5,"['TE', 'measurement']",['measurement'],14,"['在576名患者中,533人(93%)接受了可靠的TE测量。']",0.5,"['TE', 'measurement']",['measurement'],14,在576位参与者中，533位（93%）拥有可靠的TE测量结果。,0.5,"['TE', 'measurement']",['measurement'],8.0,5.0,1.0,10.0
15,15,"significant liver disease was found in 12 % of patients , nearly one third of whom had obesity as their only risk factor .",12% 的患者患有严重的肝病，其中将近三分之一的患者肥胖是唯一的危险因素。,0.4,"['liver disease', 'obesity', 'risk factor', 'in', 'third']","['liver disease', 'obesity']",15,"['显著的肝脏疾病在12%的患者中被发现,其中近三分之一患有肥胖,这是他们唯一的风险因素。']",0.4,"['liver disease', 'obesity', 'risk factor', 'in', 'third']","['obesity', 'risk factor']",15,12%的病人出现了重大的肝脏疾病，其中近三分之一的人仅有肥胖作为他们的唯一风险因素。,0.4,"['liver disease', 'obesity', 'risk factor', 'in', 'third']","['obesity', 'risk factor']",10.0,10.0,5.0,10.0
