,English,Chinese,Reference,BLEU,Dict Acc Exact Match,Terms,Exact Match Terms,Dict Acc Character Level
0,probably not : analysis suggests minimal effect of HT in maintaining lean body mass .,可能不是：分析表明 HT 在维持瘦体重方面的作用微乎其微。,也许 不能 : 分析 结果 提示 激素 疗法 在 维持 去 脂 体重 方面 作用 很小 .,0.1273328826263476,0.4,"['analysis', 'effect', 'minimal', 'mass', 'body']","['analysis', 'effect']",0.7333333333333333
1,investigators identified 12 randomized trials of menopausal HT in which changes in LBM were assessed .,研究人员确定了 12 项评估 LBM 变化的绝经期 HT 随机试验。,研究者 确定 了 12 项 评估 去 脂 体重 变化 情况 的 绝经期 激素 疗法 随机 试验 .,0.335384079625038,0.0,"['menopausal', 'assessed']",[],1.0
2,Intensifying blood pressure regimens at discharge in older adults was associated with excess readmissions and serious adverse events .,老年人出院时强化血压方案与再入院率和严重不良事件有关。,强化 老年人 出院 时 的 血压 控制 方案 与 再 入院 和 严重 不良 事件 增加 相关 .,0.41181529390702654,0.16666666666666666,"['discharge', 'excess', 'blood pressure', 'adverse', 'associated', 'serious']",['blood pressure'],0.25
3,"during hospitalization , patients frequently have transient elevations in blood pressure ( BP ) , which result in modification of their outpatient antihypertensive regimens at discharge .",住院期间，患者的血压 (BP) 经常出现短暂升高，这导致他们在出院时修改门诊降压方案。,"住院 期间 , 患者 常 出现 血压 暂时 升高 , 因而 导致 医师 在 患者 出院 时 调整 其 门诊 抗 高血压 方案 .",0.151861175466554,0.375,"['transient', 'discharge', 'modification', 'antihypertensive', 'frequently', 'blood pressure', 'hospitalization', 'result']","['antihypertensive', 'blood pressure', 'hospitalization']",0.6875
4,no studies have been designed to evaluate whether this practice improves outcomes .,尚未设计任何研究来评估这种做法是否会改善结果。,尚无 任何 研究 评估 这一 做法 可否 改善 患者 结局 .,0.1483390033075034,0.0,['practice'],[],0.0
5,"at 1 year , mean systolic BP and incidence of adverse cardiac events were similar in the two groups .",1 年时，两组的平均收缩压和不良心脏事件的发生率相似。,"1 年时 , 两组 的 平均 收缩压 和 心脏 不良 事件 发生率 相似 .",0.4498023870354195,0.6666666666666666,"['cardiac', 'incidence', 'mean', 'year', '1', 'adverse', 'systolic', 'two', 'similar']","['cardiac', 'incidence', 'mean', 'year', '1', 'two']",0.9629629629629631
6,this study highlights a common clinical inpatient scenario .,这项研究突出了一种常见的临床住院情况。,这项 研究 凸显 了 住院 患者 的 一种 常见 临床 状况 .,0.199686645737616,0.25,"['study', 'common', 'clinical', 'inpatient']",['clinical'],0.5416666666666666
7,"clinicians often feel compelled to act on elevated BP readings in hospitalized patients , but these results suggest we should do otherwise .",临床医生常常觉得有必要对住院患者的血压读数升高采取行动，但这些结果表明我们不应该这样做。,"临床 医师 常 觉得 必须 对 住院 患者 的 血压 读数 升高 采取措施 , 但 这项 研究 的 结果 提示 我们 不 应 这样 做 .",0.3652199326268262,0.0,"['feel', 'readings', 'suggest', 'act on']",[],0.25
8,a guideline that addresses asymptomatic BP elevations in hospitalized patients would be helpful .,解决住院患者无症状血压升高的指南会有所帮助。,"如果 可以 针对 住院 患者 无症状 的 血压 升高 制定 指南 , 这 将 会 很 有 帮助 .",0.15075305136784448,1.0,['asymptomatic'],['asymptomatic'],1.0
9,there is a recent emphasis in liver disease management on how best to identify individuals at increased risk for clinically significant disease in the primary care setting .,肝病管理最近强调如何在初级保健环境中最好地识别出临床上重要疾病风险增加的个体。,"在 肝病 诊疗 中 , 近期 的 一个 重点 是 如何 在 初级 诊疗 机构 识别 临床 显著 肝病 风险 升高 的 人 .",0.1546951853302448,0.5555555555555556,"['setting', 'recent', 'liver disease', 'primary', 'risk', 'management', 'identify', 'care', 'emphasis']","['liver disease', 'risk', 'management', 'identify', 'emphasis']",0.7222222222222222
10,"many studies have developed risk stratification guidelines , but few have applied them in a primary care population .",许多研究制定了风险分层指南，但很少将其应用于初级保健人群。,"有 许多 研究 制定 了 风险 分层 指南 , 但 其中 很少 有 研究 将 其 应用 于 初级 诊疗 机构 的 人群 .",0.4628325893609586,0.5,"['population', 'stratification', 'primary', 'risk', 'applied', 'care']","['population', 'stratification', 'risk']",0.6666666666666666
11,"in this prospective study , researchers recruited patients from a family medicine practice in an inner city setting in England .",在这项前瞻性研究中，研究人员从英格兰市中心的一家家庭医疗诊所招募了患者。,"在 这项 前瞻性 研究 中 , 研究者 从 英格兰 市中心 的 一个 家庭医生 诊所 招募 了 患者 .",0.4894426184930401,0.3333333333333333,"['family', 'setting', 'medicine', 'inner', 'prospective study', 'practice']","['family', 'prospective study']",0.5972222222222222
12,"adults with one or more risk factors for chronic liver disease ( obesity , type 2 diabetes , and hazardous alcohol use ) were enrolled as a subpopulation of the overall primary care practice .",具有一种或多种慢性肝病危险因素（肥胖、2 型糖尿病和有害饮酒）的成年人被纳入整个初级保健实践的一个亚群。,"本 研究 纳入 了 有 1 项 或 多项 慢性 肝病 危险 因素 ( 肥胖 , 2 型 糖尿病 和 危险 饮酒 ) 的 成人 , 将 其 作为 初级 诊疗 机构 总体 人群 的 一个 亚 人群 .",0.20108287847904907,0.8333333333333334,"['alcohol', 'diabetes', 'type', '2', 'subpopulation', 'liver disease', 'obesity', 'chronic', 'primary', 'risk', 'practice', 'care']","['alcohol', 'diabetes', 'type', '2', 'subpopulation', 'liver disease', 'obesity', 'chronic', 'risk', 'practice']",0.8888888888888888
13,"patients underwent transient elastography ( TE ) , from which a reading of ≥ 8 kPa was defined as significant liver disease .",患者接受了瞬时弹性成像 (TE)，其中≥ 8 kPa 的读数被定义为显着肝病。,"患者 接受 了 瞬时 弹性 成像 ( TE ) , 成像 读数 ≥ 8 kPa 被 定义 为 显著 肝病 .",0.5935570293241997,0.2,"['TE', 'transient', 'defined', 'reading', 'liver disease']",['liver disease'],0.5666666666666667
14,"among 576 patients participating , 533 ( 93 % ) had a reliable TE measurement .",在参与的 576 名患者中，533 名 (93%) 进行了可靠的 TE 测量。,"在 参与 本 研究 的 576 例 患者 中 , 533 例 ( 93% ) 有 可靠 的 TE 测定 值 .",0.24764497678176184,0.5,"['TE', 'measurement']",['measurement'],0.5
