English,Chinese
probably not : analysis suggests minimal effect of HT in maintaining lean body mass .,分析表明，雌激素有助于维持身体纤细，但可能并不是很明显。
investigators identified 12 randomized trials of menopausal HT in which changes in LBM were assessed .,研究人员确认了12个关于绝经期激素替代疗法（HT）的随机试验，其中评估了体重变化。
Intensifying blood pressure regimens at discharge in older adults was associated with excess readmissions and serious adverse events .,"Intensifying blood pressure regimens at discharge in older adults was associated with excess readmissions and serious adverse events.

Chinese:

老年人出院时加强血压治疗计划会导致过多住院和严重不良事件发生。"
"during hospitalization , patients frequently have transient elevations in blood pressure ( BP ) , which result in modification of their outpatient antihypertensive regimens at discharge .",在住院期间，病人的血压会经常有短暂的升高，这会导致出院时调整他们的降压药物方案。
no studies have been designed to evaluate whether this practice improves outcomes .,没有研究是专门设计来评估这种做法是否会改善结果的。
"at 1 year , mean systolic BP and incidence of adverse cardiac events were similar in the two groups .",在1年的时候，两组人的平均收缩压和不良心脏事件发生率相似。
this study highlights a common clinical inpatient scenario .,这项研究突出了一种常见的住院患者情况。
"clinicians often feel compelled to act on elevated BP readings in hospitalized patients , but these results suggest we should do otherwise .",医生经常感到有必要对住院病人的血压读数采取行动，但这些结果表明我们不应该这样做。
a guideline that addresses asymptomatic BP elevations in hospitalized patients would be helpful .,一个针对住院病人无症状血压升高的指南将是非常有帮助的。
there is a recent emphasis in liver disease management on how best to identify individuals at increased risk for clinically significant disease in the primary care setting .,目前在肝病管理中，人们更加重视如何在初级保健环境中找出那些患有临床显著疾病风险的个人。
"many studies have developed risk stratification guidelines , but few have applied them in a primary care population .",许多研究已经制定了风险分级指南，但很少有研究应用于初级保健人群。
"in this prospective study , researchers recruited patients from a family medicine practice in an inner city setting in England .",在这项前瞻性研究中，研究人员从英国一个城市内部的家庭医疗实践中招募了病人。
"adults with one or more risk factors for chronic liver disease ( obesity , type 2 diabetes , and hazardous alcohol use ) were enrolled as a subpopulation of the overall primary care practice .","adults with one or more risk factors for chronic liver disease ( obesity , type 2 diabetes , and hazardous alcohol use ) were enrolled as a subpopulation of the overall primary care practice .

Chinese:

成人患有一个或多个慢性肝病风险因素（肥胖、2型糖尿病和危险饮酒）的人群被纳入为总体初级保健实践的一个分群。"
"patients underwent transient elastography ( TE ) , from which a reading of ≥ 8 kPa was defined as significant liver disease .",病人接受了瞬变弹性图像（TE）检查，其中≥8 kPa的阅读被定义为重要的肝脏疾病。
