,English,Chinese,Reference,BLEU,Dictionary Accuracy
0,probably not : analysis suggests minimal effect of HT in maintaining lean body mass .,['可能不是:分析表明HT在维持脂肪体重的最小效果。'],也许 不能 : 分析 结果 提示 激素 疗法 在 维持 去 脂 体重 方面 作用 很小 .,0.12142772352924167,0.8
1,investigators identified 12 randomized trials of menopausal HT in which changes in LBM were assessed .,"['研究人员确定了12次随机测试,其中评估了LBM的变化。']",研究者 确定 了 12 项 评估 去 脂 体重 变化 情况 的 绝经期 激素 疗法 随机 试验 .,0.1629581258712389,0.6666666666666666
2,Intensifying blood pressure regimens at discharge in older adults was associated with excess readmissions and serious adverse events .,['在老年人排放时的血压强化制度与过度回收和严重的副作用有关。'],强化 老年人 出院 时 的 血压 控制 方案 与 再 入院 和 严重 不良 事件 增加 相关 .,0.1743741950725822,0.4444444444444445
3,"during hospitalization , patients frequently have transient elevations in blood pressure ( BP ) , which result in modification of their outpatient antihypertensive regimens at discharge .","['在入院期间,患者经常有过渡的血压(BP)上升,这导致他们在排放时的病人抗高血压饮食的变化。']","住院 期间 , 患者 常 出现 血压 暂时 升高 , 因而 导致 医师 在 患者 出院 时 调整 其 门诊 抗 高血压 方案 .",0.14250204258324403,0.5833333333333333
4,no studies have been designed to evaluate whether this practice improves outcomes .,['没有任何研究旨在评估这种实践是否会改善结果。'],尚无 任何 研究 评估 这一 做法 可否 改善 患者 结局 .,0.12485591413554181,1.0
5,"at 1 year , mean systolic BP and incidence of adverse cardiac events were similar in the two groups .","['在1年,中间系统性BP和不良心脏病发作的发病率在两组中相似。']","1 年时 , 两组 的 平均 收缩压 和 心脏 不良 事件 发生率 相似 .",0.13246192657829212,0.8101851851851852
6,this study highlights a common clinical inpatient scenario .,['这项研究强调了一个常见的临床病人场景。'],这项 研究 凸显 了 住院 患者 的 一种 常见 临床 状况 .,0.1460483162820195,0.5416666666666666
7,"clinicians often feel compelled to act on elevated BP readings in hospitalized patients , but these results suggest we should do otherwise .","['临床医生经常觉得被迫在入院的患者中采取高BP阅读行动,但这些结果表明我们应该做不一样的事情。']","临床 医师 常 觉得 必须 对 住院 患者 的 血压 读数 升高 采取措施 , 但 这项 研究 的 结果 提示 我们 不 应 这样 做 .",0.12153284913137055,0.25
8,a guideline that addresses asymptomatic BP elevations in hospitalized patients would be helpful .,['在入院患者中处理无症状BP上升的指导方针将有助于。'],"如果 可以 针对 住院 患者 无症状 的 血压 升高 制定 指南 , 这 将 会 很 有 帮助 .",0.09373113568397944,1.0
9,there is a recent emphasis in liver disease management on how best to identify individuals at increased risk for clinically significant disease in the primary care setting .,"['在肝脏疾病管理中,最近强调如何最好地识别在初级护理环境中患有临床意义的疾病风险的人。']","在 肝病 诊疗 中 , 近期 的 一个 重点 是 如何 在 初级 诊疗 机构 识别 临床 显著 肝病 风险 升高 的 人 .",0.14422435381693305,0.7222222222222222
